Record Name,Field,Value
File Header,file_type_id,pdz25
File Header,instrument_type,1
XRF Instrument,serial_number_length,8
XRF Instrument,serial_number,600N6628
XRF Instrument,build_number_length,8
XRF Instrument,build_number,SK2-6628
XRF Instrument,tube_target_element,45
XRF Instrument,anode_takeoff_angle,45
XRF Instrument,sample_incidence_angle,45
XRF Instrument,sample_takeoff_angle,65
XRF Instrument,be_thickness,125
XRF Instrument,detector_model_length,3
XRF Instrument,detector_model,SDD
XRF Instrument,tube_type_length,3
XRF Instrument,tube_type,NSI
XRF Instrument,hw_spot_size,5
XRF Instrument,sw_spot_size,5
XRF Instrument,collimator_type_length,5
XRF Instrument,collimator_type,Fixed
XRF Instrument,num_versions,7
XRF Instrument,sw_version_record_num,1
XRF Instrument,sw_version_length,10
XRF Instrument,sw_version,2.4.54.318
XRF Instrument,xilinx_version_record_num,2
XRF Instrument,xilinx_fw_ver_length,5
XRF Instrument,xilinx_fw_ver,13.09
XRF Instrument,sup_version_record_num,3
XRF Instrument,sup_fw_ver_length,4
XRF Instrument,sup_fw_ver,3.10
XRF Instrument,uup_version_record_num,4
XRF Instrument,uup_fw_ver_length,4
XRF Instrument,uup_fw_ver,3.03
XRF Instrument,xray_source_version_record_num,5
XRF Instrument,xray_src_fw_ver_length,5
XRF Instrument,xray_src_fw_ver,21.3F
XRF Instrument,dpp_version_record_num,6
XRF Instrument,dpp_fw_ver_length,4
XRF Instrument,dpp_fw_ver,1.02
XRF Instrument,header_version_record_num,8
XRF Instrument,header_fw_ver_length,4
XRF Instrument,header_fw_ver,1.02
XRF Assay Summary,number_of_phases,3
XRF Assay Summary,raw_counts,1627823
XRF Assay Summary,valid_counts,1502561
XRF Assay Summary,valid_counts_in_range,0
XRF Assay Summary,reset_counts,100430
XRF Assay Summary,total_real_time,71.44500732421875
XRF Assay Summary,total_packet_time,68.41000366210938
XRF Assay Summary,total_dead,3.88100004196167
XRF Assay Summary,total_reset,2.878000020980835
XRF Assay Summary,total_live,64.52899932861328
XRF Assay Summary,elapsed_time,76.0
XRF Assay Summary,application_name_length,14
XRF Assay Summary,application_name,GeoExploration
XRF Assay Summary,application_part_number_length,0
XRF Assay Summary,application_part_number,
XRF Assay Summary,user_id_length,4
XRF Assay Summary,user_id,User
XRF Spectrum,phase_number,2
XRF Spectrum,raw_counts,401138
XRF Spectrum,valid_counts,378952
XRF Spectrum,valid_counts_in_range,0
XRF Spectrum,reset_counts,8894
XRF Spectrum,time_since_trigger,83.0
XRF Spectrum,total_packet_time,14.751002311706543
XRF Spectrum,total_dead,0.9190000295639038
XRF Spectrum,total_reset,0.2550000250339508
XRF Spectrum,total_live,13.832002639770508
XRF Spectrum,tube_voltage,15.0
XRF Spectrum,tube_current,19.899999618530273
XRF Spectrum,filters,"[{'filter_element': 0, 'filter_thickness': 0}, {'filter_element': 0, 'filter_thickness': 0}, {'filter_element': 0, 'filter_thickness': 0}]"
XRF Spectrum,filter_wheel_number,2
XRF Spectrum,detector_temp,-27.0
XRF Spectrum,ambient_temp,82.80000305175781
XRF Spectrum,vacuum,-1
XRF Spectrum,ev_per_channel,20.014251708984375
XRF Spectrum,gain_drift_algorithm,2
XRF Spectrum,channel_start,0.3749622702598572
XRF Spectrum,acquisition_date_time,2025-07-21 08:48:49
XRF Spectrum,atmospheric_pressure,1000.2354736328125
XRF Spectrum,channels,2048
XRF Spectrum,nose_temp,25
XRF Spectrum,environment,0
XRF Spectrum,illumination_length,14
XRF Spectrum,illumination,Exploration_15
XRF Spectrum,normal_packet_start,1
